"scheme_name","document_name","document_category","is_mandatory"
"PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi)","Passport-size Photograph","Photograph","true"
"National Means-cum-Merit Scholarship (NMMS)","Aadhaar Card","ID Proof","true"
"National Means-cum-Merit Scholarship (NMMS)","Income Certificate","Income Proof","true"
"National Means-cum-Merit Scholarship (NMMS)","Class 8 Marksheet","Educational Certificate","true"
"National Means-cum-Merit Scholarship (NMMS)","School Bonafide Certificate","Educational Certificate","true"
"National Means-cum-Merit Scholarship (NMMS)","Bank Passbook (Aadhaar-seeded)","Bank Details","true"
"Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY)","Ration Card (Yellow/Orange/AAY/Annapurna)","Other","true"
"Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY)","Aadhaar Card","ID Proof","true"
"Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY)","Income Certificate (for Orange card holders)","Income Proof","false"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","Aadhaar Card","ID Proof","true"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","Domicile Certificate","Address Proof","true"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","Income Certificate","Income Proof","true"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","CAP Admission Allotment Letter","Other","true"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","Bank Passbook (Aadhaar-seeded)","Bank Details","true"
"Ramai Awas Yojana","Caste Certificate (SC/Neo-Buddhist)","Other","true"
"Ramai Awas Yojana","Income Certificate","Income Proof","true"
"Ramai Awas Yojana","Residence Proof (15 years domicile)","Address Proof","true"
"Ramai Awas Yojana","Land/Plot Ownership Document","Other","true"
"Ramai Awas Yojana","Bank Account Passbook","Bank Details","true"
